id_transaccion,id_empresa,giro_comercial,fecha_hora, monto ,tipo_pago,pais_destino
TX_000000,EMP_0091,Restaurante,20/07/26," $3,144.00 ",SPEI_ENVIADO,México
TX_000001,EMP_0078,Abarrotes,20/07/26," $3,993.22 ",SPEI_RECIBIDO,México
TX_000002,EMP_0023,Ferretería,20/07/26," $20,002.40 ",SPEI_ENVIADO,México
TX_000003,EMP_0015,Consultoría TI,20/07/26," $9,945.36 ",SPEI_RECIBIDO,México
TX_000004,EMP_0099,Consultoría TI,20/07/26," $21,762.47 ",SPEI_RECIBIDO,México
TX_000005,EMP_0088,Ropa y Calzado,20/07/26," $26,651.56 ",SPEI_RECIBIDO,México
TX_000006,EMP_0063,Consultoría TI,20/07/26," $6,409.11 ",SPEI_ENVIADO,México
TX_000007,EMP_0053,Ferretería,20/07/26," $7,812.20 ",SPEI_ENVIADO,México
TX_000008,EMP_0035,Ferretería,20/07/26," $18,781.32 ",SPEI_ENVIADO,México
TX_000009,EMP_0021,Consultoría TI,20/07/26," $11,987.08 ",SPEI_ENVIADO,México
TX_000010,EMP_0085,Restaurante,20/07/26," $8,582.32 ",SPEI_ENVIADO,México
TX_000011,EMP_0045,Consultoría TI,20/07/26," $26,800.77 ",SPEI_RECIBIDO,México
TX_000012,EMP_0028,Ropa y Calzado,20/07/26," $25,562.31 ",TARJETA_EMPRESARIAL,México
TX_000013,EMP_0039,Consultoría TI,20/07/26," $27,070.14 ",TARJETA_EMPRESARIAL,México
TX_000014,EMP_0075,Consultoría TI,20/07/26," $15,433.60 ",SPEI_RECIBIDO,México
TX_000015,EMP_0084,Abarrotes,20/07/26," $8,169.76 ",TARJETA_EMPRESARIAL,México
TX_000016,EMP_0039,Consultoría TI,20/07/26," $23,696.17 ",TARJETA_EMPRESARIAL,México
TX_000017,EMP_0075,Consultoría TI,20/07/26," $34,157.25 ",TARJETA_EMPRESARIAL,México
TX_000018,EMP_0011,Ferretería,20/07/26," $4,066.77 ",TARJETA_EMPRESARIAL,México
TX_000019,EMP_0037,Restaurante,20/07/26," $29,651.83 ",SPEI_RECIBIDO,México
TX_000020,EMP_0002,Papelería,20/07/26," $7,595.72 ",TARJETA_EMPRESARIAL,México
TX_000021,EMP_0010,Ropa y Calzado,20/07/26," $26,691.12 ",TARJETA_EMPRESARIAL,México
TX_000022,EMP_0032,Papelería,20/07/26," $32,690.59 ",SPEI_RECIBIDO,México
TX_000023,EMP_0018,Abarrotes,20/07/26," $21,556.44 ",SPEI_RECIBIDO,México
TX_000024,EMP_0029,Ferretería,20/07/26," $30,521.27 ",SPEI_ENVIADO,México
TX_000025,EMP_0015,Consultoría TI,20/07/26," $7,432.24 ",SPEI_ENVIADO,México
TX_000026,EMP_0063,Consultoría TI,20/07/26," $19,707.07 ",SPEI_RECIBIDO,México
TX_000027,EMP_0067,Restaurante,20/07/26," $8,222.47 ",SPEI_RECIBIDO,México
TX_000028,EMP_0024,Abarrotes,20/07/26," $23,302.21 ",TARJETA_EMPRESARIAL,México
TX_000029,EMP_0007,Restaurante,20/07/26," $21,973.11 ",SPEI_RECIBIDO,México
TX_000030,EMP_0077,Ferretería,20/07/26," $16,478.95 ",SPEI_RECIBIDO,México
TX_000031,EMP_0034,Ropa y Calzado,20/07/26," $34,440.24 ",SPEI_RECIBIDO,México
TX_000032,EMP_0087,Consultoría TI,20/07/26," $16,748.02 ",SPEI_RECIBIDO,México
TX_000033,EMP_0021,Consultoría TI,20/07/26," $26,962.18 ",TARJETA_EMPRESARIAL,México
TX_000034,EMP_0062,Papelería,20/07/26," $27,525.56 ",SPEI_RECIBIDO,México
TX_000035,EMP_0068,Papelería,20/07/26," $3,886.82 ",SPEI_RECIBIDO,México
TX_000036,EMP_0023,Ferretería,20/07/26," $32,094.93 ",SPEI_RECIBIDO,México
TX_000037,EMP_0082,Ropa y Calzado,20/07/26," $30,618.21 ",SPEI_RECIBIDO,México
TX_000038,EMP_0006,Abarrotes,20/07/26," $18,435.39 ",SPEI_RECIBIDO,México
TX_000039,EMP_0016,Ropa y Calzado,20/07/26," $27,041.32 ",SPEI_ENVIADO,México
TX_000040,EMP_0073,Restaurante,20/07/26," $22,145.85 ",SPEI_ENVIADO,México
TX_000041,EMP_0073,Restaurante,20/07/26," $20,298.19 ",SPEI_ENVIADO,México
TX_000042,EMP_0098,Papelería,20/07/26," $3,672.26 ",SPEI_RECIBIDO,México
