id_transaccion,id_empresa,giro_comercial,fecha_hora,monto,tipo_pago,pais_destino
"TX_000000","EMP_0028","Constructora","2026-12-01 08:04:42.982","10086.65","SPEI_RECIBIDO","México"
"TX_000001","EMP_0009","Turismo","2026-12-01 08:05:47.815","18037.29","TARJETA_EMPRESARIAL","México"
"TX_000002","EMP_0049","Ferretería","2026-12-01 08:15:49.286","7848.50","SPEI_RECIBIDO","México"
"TX_000003","EMP_0021","Importadora","2026-12-01 08:20:52.876","15149.96","SPEI_ENVIADO","México"
"TX_000004","EMP_0011","Abarrotes","2026-12-01 08:23:43.026","32728.30","TARJETA_EMPRESARIAL","México"
"TX_000005","EMP_0067","Restaurante","2026-12-01 08:31:25.675","18128.76","TARJETA_EMPRESARIAL","México"
"TX_000006","EMP_0057","Papelería","2026-12-01 08:38:16.720","12587.59","SPEI_RECIBIDO","México"
"TX_000007","EMP_0032","Importadora","2026-12-01 08:48:59.625","20052.87","SPEI_ENVIADO","México"
"TX_000008","EMP_0032","Importadora","2026-12-01 08:57:30.128","13240.57","SPEI_ENVIADO","México"
"TX_000009","EMP_0063","Automotriz","2026-12-01 09:17:39.499","25713.51","SPEI_ENVIADO","México"
"TX_000010","EMP_0007","Farmacia","2026-12-01 09:30:36.610","30090.99","SPEI_RECIBIDO","México"
"TX_000011","EMP_0033","Abarrotes","2026-12-01 09:33:05.633","22406.26","SPEI_ENVIADO","México"
"TX_000012","EMP_0064","Turismo","2026-12-01 09:39:31.185","17331.59","SPEI_ENVIADO","México"
"TX_000013","EMP_0077","Abarrotes","2026-12-01 09:42:36.742","7890.07","SPEI_RECIBIDO","México"
"TX_000014","EMP_0009","Turismo","2026-12-01 09:46:01.624","4845.03","SPEI_ENVIADO","México"
"TX_000015","EMP_0020","Turismo","2026-12-01 09:56:50.399","24266.97","TARJETA_EMPRESARIAL","México"
"TX_000016","EMP_0015","Ropa y Calzado","2026-12-01 09:57:11.604","31183.41","SPEI_RECIBIDO","México"
"TX_000017","EMP_0037","Ropa y Calzado","2026-12-01 10:10:41.995","7035.78","TARJETA_EMPRESARIAL","México"
"TX_000018","EMP_0054","Importadora","2026-12-01 10:15:09.176","31917.56","SPEI_RECIBIDO","México"
"TX_000019","EMP_0083","Constructora","2026-12-01 10:17:43.209","28318.19","TARJETA_EMPRESARIAL","México"
"TX_000020","EMP_0038","Ferretería","2026-12-01 10:23:00.867","3940.84","TARJETA_EMPRESARIAL","México"
"TX_000021","EMP_0004","Ropa y Calzado","2026-12-01 10:26:42.722","22667.07","SPEI_RECIBIDO","México"
"TX_000022","EMP_0033","Abarrotes","2026-12-01 10:28:35.337","5870.97","SPEI_ENVIADO","México"
"TX_000023","EMP_0025","Consultoría TI","2026-12-01 10:54:56.908","19286.57","SPEI_ENVIADO","México"
"TX_000024","EMP_0085","Automotriz","2026-12-01 10:56:49.057","33673.40","SPEI_RECIBIDO","México"
"TX_000025","EMP_0003","Consultoría TI","2026-12-01 11:11:01.473","32956.30","TARJETA_EMPRESARIAL","México"
"TX_000026","EMP_0073","Farmacia","2026-12-01 11:15:49.773","33598.28","SPEI_ENVIADO","México"
"TX_000027","EMP_0013","Papelería","2026-12-01 11:22:12.841","11852.51","TARJETA_EMPRESARIAL","México"
"TX_000028","EMP_0085","Automotriz","2026-12-01 11:25:39.662","5560.74","SPEI_RECIBIDO","México"
"TX_000029","EMP_0080","Consultoría TI","2026-12-01 11:41:02.557","5289.22","SPEI_ENVIADO","México"
"TX_000030","EMP_0031","Turismo","2026-12-01 12:11:02.750","13553.87","SPEI_RECIBIDO","México"
"TX_000031","EMP_0047","Consultoría TI","2026-12-01 12:17:18.912","33642.92","SPEI_RECIBIDO","México"
"TX_000032","EMP_0069","Consultoría TI","2026-12-01 12:17:59.952","34758.04","TARJETA_EMPRESARIAL","México"
"TX_000033","EMP_0048","Ropa y Calzado","2026-12-01 12:28:06.193","13766.60","SPEI_RECIBIDO","México"
"TX_000034","EMP_0050","Constructora","2026-12-01 12:28:50.084","8355.26","TARJETA_EMPRESARIAL","México"
"TX_000035","EMP_0089","Restaurante","2026-12-01 12:37:48.884","33316.56","SPEI_ENVIADO","México"
"TX_000036","EMP_0008","Automotriz","2026-12-01 12:42:36.553","20634.68","SPEI_RECIBIDO","México"
"TX_000037","EMP_0011","Abarrotes","2026-12-01 12:52:23.799","14629.39","SPEI_ENVIADO","México"
"TX_000038","EMP_0006","Constructora","2026-12-01 12:52:50.220","15129.57","TARJETA_EMPRESARIAL","México"
"TX_000039","EMP_0034","Restaurante","2026-12-01 12:55:31.794","23552.90","SPEI_RECIBIDO","México"
"TX_000040","EMP_0026","Ropa y Calzado","2026-12-01 12:57:39.268","20263.88","TARJETA_EMPRESARIAL","México"
"TX_000041","EMP_0027","Ferretería","2026-12-01 13:15:12.109","26497.29","SPEI_ENVIADO","México"
"TX_000042","EMP_0074","Automotriz","2026-12-01 13:35:08.964","9029.05","TARJETA_EMPRESARIAL","México"
"TX_000043","EMP_0062","Farmacia","2026-12-01 13:45:22.693","15985.22","TARJETA_EMPRESARIAL","México"
"TX_000044","EMP_0046","Papelería","2026-12-01 13:52:16.887","31195.86","TARJETA_EMPRESARIAL","México"
"TX_000045","EMP_0010","Importadora","2026-12-01 13:53:38.918","23790.30","SPEI_ENVIADO","México"
"TX_000046","EMP_0004","Ropa y Calzado","2026-12-01 14:16:31.282","25995.13","SPEI_ENVIADO","México"
"TX_000047","EMP_0071","Ferretería","2026-12-01 14:18:30.446","17906.88","SPEI_ENVIADO","México"
"TX_000048","EMP_0065","Importadora","2026-12-01 14:43:18.937","29753.96","SPEI_RECIBIDO","México"
"TX_000049","EMP_0090","Papelería","2026-12-01 14:44:14.307","23747.50","SPEI_RECIBIDO","México"
"TX_000050","EMP_0031","Turismo","2026-12-01 14:50:15.953","17207.70","SPEI_RECIBIDO","México"
"TX_000051","EMP_0019","Automotriz","2026-12-01 15:01:11.069","13314.56","TARJETA_EMPRESARIAL","México"
"TX_000052","EMP_0081","Ropa y Calzado","2026-12-01 15:13:48.972","8490.02","SPEI_ENVIADO","México"
"TX_000053","EMP_0079","Papelería","2026-12-01 15:17:14.566","30955.35","SPEI_RECIBIDO","México"
"TX_000054","EMP_0067","Restaurante","2026-12-01 15:21:37.126","8479.52","TARJETA_EMPRESARIAL","México"
"TX_000055","EMP_0038","Ferretería","2026-12-01 15:38:44.160","31215.84","TARJETA_EMPRESARIAL","México"
"TX_000056","EMP_0059","Ropa y Calzado","2026-12-01 15:41:01.142","4321.90","SPEI_ENVIADO","México"
"TX_000057","EMP_0014","Consultoría TI","2026-12-01 15:51:25.546","13797.84","SPEI_RECIBIDO","México"
"TX_000058","EMP_0075","Turismo","2026-12-01 16:07:43.679","26588.65","SPEI_ENVIADO","México"
"TX_000059","EMP_0023","Restaurante","2026-12-01 16:09:39.237","15174.68","SPEI_RECIBIDO","México"
"TX_000060","EMP_0045","Restaurante","2026-12-01 16:18:23.128","2868.52","SPEI_RECIBIDO","México"
"TX_000061","EMP_0082","Ferretería","2026-12-01 16:40:29.268","6595.19","SPEI_ENVIADO","México"
"TX_000062","EMP_0014","Consultoría TI","2026-12-01 16:42:07.820","14211.78","TARJETA_EMPRESARIAL","México"
"TX_000063","EMP_0055","Abarrotes","2026-12-01 16:47:33.571","18750.82","SPEI_RECIBIDO","México"
"TX_000064","EMP_0088","Abarrotes","2026-12-01 16:49:42.094","32799.05","TARJETA_EMPRESARIAL","México"
"TX_000065","EMP_0042","Turismo","2026-12-01 16:57:47.799","12248.63","SPEI_ENVIADO","México"
"TX_000066","EMP_0020","Turismo","2026-12-01 17:01:47.243","13859.41","TARJETA_EMPRESARIAL","México"
"TX_000067","EMP_0021","Importadora","2026-12-01 17:06:16.559","17609.86","TARJETA_EMPRESARIAL","México"
"TX_000068","EMP_0024","Papelería","2026-12-01 17:19:30.779","11907.53","TARJETA_EMPRESARIAL","México"
"TX_000069","EMP_0030","Automotriz","2026-12-01 17:31:26.698","5345.55","TARJETA_EMPRESARIAL","México"
"TX_000070","EMP_0082","Ferretería","2026-12-01 17:31:46.771","26067.02","TARJETA_EMPRESARIAL","México"
"TX_000071","EMP_0059","Ropa y Calzado","2026-12-01 17:32:48.742","34909.09","SPEI_RECIBIDO","México"
"TX_000072","EMP_0061","Constructora","2026-12-01 17:40:53.960","32208.31","SPEI_ENVIADO","México"
"TX_000073","EMP_0029","Farmacia","2026-12-01 17:43:51.510","30196.26","TARJETA_EMPRESARIAL","México"
"TX_000074","EMP_0029","Farmacia","2026-12-01 17:48:43.142","3013.70","SPEI_ENVIADO","México"
"TX_000075","EMP_0003","Consultoría TI","2026-12-01 17:50:37.184","2860.60","SPEI_RECIBIDO","México"
"TX_000076","EMP_0038","Ferretería","2026-12-01 17:53:02.928","32265.65","TARJETA_EMPRESARIAL","México"
"TX_000077","EMP_0047","Consultoría TI","2026-12-01 17:56:01.541","25636.57","SPEI_RECIBIDO","México"
"TX_000078","EMP_0023","Restaurante","2026-12-01 17:58:33.172","26296.66","SPEI_ENVIADO","México"
"TX_000079","EMP_0009","Turismo","2026-12-01 18:16:15.335","23708.84","SPEI_RECIBIDO","México"
"TX_000080","EMP_0037","Ropa y Calzado","2026-12-01 18:22:42.914","23199.47","TARJETA_EMPRESARIAL","México"
"TX_000081","EMP_0067","Restaurante","2026-12-01 18:44:40.070","4094.61","SPEI_ENVIADO","México"
"TX_000082","EMP_0063","Automotriz","2026-12-01 19:05:10.251","23762.10","TARJETA_EMPRESARIAL","México"
"TX_000083","EMP_0077","Abarrotes","2026-12-01 19:06:27.173","2757.53","TARJETA_EMPRESARIAL","México"
"TX_000084","EMP_0074","Automotriz","2026-12-01 19:08:46.100","19391.35","SPEI_RECIBIDO","México"
"TX_000085","EMP_0057","Papelería","2026-12-01 19:21:16.655","20056.95","SPEI_RECIBIDO","México"
"TX_000086","EMP_0054","Importadora","2026-12-01 19:24:21.677","13158.09","SPEI_RECIBIDO","México"
"TX_000087","EMP_0005","Ferretería","2026-12-01 19:37:14.935","33124.03","SPEI_RECIBIDO","México"
"TX_000088","EMP_0060","Ferretería","2026-12-01 19:37:56.421","15659.10","TARJETA_EMPRESARIAL","México"
"TX_000089","EMP_0071","Ferretería","2026-12-01 19:40:35.421","8513.19","SPEI_ENVIADO","México"
"TX_000090","EMP_0052","Automotriz","2026-12-01 19:55:04.230","24296.96","SPEI_ENVIADO","México"
"TX_000091","EMP_0002","Papelería","2026-12-01 19:55:51.768","3536.00","SPEI_RECIBIDO","México"
"TX_000092","EMP_0051","Farmacia","2026-12-01 20:10:26.972","23855.24","SPEI_RECIBIDO","México"
"TX_000093","EMP_0028","Constructora","2026-12-01 20:12:49.664","33281.78","TARJETA_EMPRESARIAL","México"
"TX_000094","EMP_0052","Automotriz","2026-12-01 20:28:21.661","31913.51","SPEI_ENVIADO","México"
"TX_000095","EMP_0039","Constructora","2026-12-01 20:28:44.785","29896.45","TARJETA_EMPRESARIAL","México"
"TX_000096","EMP_0057","Papelería","2026-12-01 20:31:13.779","20764.67","SPEI_ENVIADO","México"
"TX_000097","EMP_0038","Ferretería","2026-12-01 21:17:13.914","4210.21","SPEI_RECIBIDO","México"
"TX_000098","EMP_0089","Restaurante","2026-12-01 21:24:58.024","18336.98","SPEI_RECIBIDO","México"
"TX_000099","EMP_0024","Papelería","2026-12-01 21:40:06.818","21588.41","SPEI_RECIBIDO","México"
"TX_000100","EMP_0067","Restaurante","2026-12-01 21:42:33.507","27855.07","SPEI_RECIBIDO","México"
"TX_000101","EMP_0060","Ferretería","2026-12-01 21:59:46.161","30383.88","SPEI_RECIBIDO","México"
"TX_000102","EMP_0025","Consultoría TI","2026-12-01 22:21:17.607","28586.97","SPEI_RECIBIDO","México"
"TX_000103","EMP_0054","Importadora","2026-12-01 22:29:07.858","31912.25","TARJETA_EMPRESARIAL","México"
"TX_000104","EMP_0024","Papelería","2026-12-01 22:51:47.506","26742.81","SPEI_RECIBIDO","México"
"TX_000105","EMP_0022","Abarrotes","2026-12-01 23:07:20.265","34943.76","SPEI_ENVIADO","México"
"TX_000106","EMP_0079","Papelería","2026-12-01 23:20:40.017","28021.54","SPEI_ENVIADO","México"
"TX_000107","EMP_0075","Turismo","2026-12-01 23:30:47.897","32195.50","SPEI_ENVIADO","México"
"TX_000108","EMP_0039","Constructora","2026-12-01 23:36:40.398","22918.56","TARJETA_EMPRESARIAL","México"
"TX_000109","EMP_0019","Automotriz","2026-12-01 23:40:22.152","16417.31","SPEI_RECIBIDO","México"
"TX_000110","EMP_0066","Abarrotes","2026-12-01 23:40:33.637","20504.22","TARJETA_EMPRESARIAL","México"
"TX_000111","EMP_0088","Abarrotes","2026-12-02 00:05:08.495","15266.86","SPEI_ENVIADO","México"
"TX_000112","EMP_0033","Abarrotes","2026-12-02 00:06:01.886","19504.31","SPEI_RECIBIDO","México"
"TX_000113","EMP_0067","Restaurante","2026-12-02 00:16:42.741","5143.95","SPEI_RECIBIDO","México"
"TX_000114","EMP_0039","Constructora","2026-12-02 00:30:36.457","11810.66","SPEI_ENVIADO","México"
"TX_000115","EMP_0057","Papelería","2026-12-02 00:43:28.387","33966.69","SPEI_RECIBIDO","México"
"TX_000116","EMP_0076","Importadora","2026-12-02 00:50:18.787","31182.89","TARJETA_EMPRESARIAL","México"
"TX_000117","EMP_0006","Constructora","2026-12-02 01:12:35.808","13993.52","TARJETA_EMPRESARIAL","México"
"TX_000118","EMP_0083","Constructora","2026-12-02 01:29:03.326","14983.47","SPEI_ENVIADO","México"
"TX_000119","EMP_0026","Ropa y Calzado","2026-12-02 01:46:25.594","16136.81","SPEI_ENVIADO","México"
"TX_000120","EMP_0035","Papelería","2026-12-02 01:48:29.531","31746.79","TARJETA_EMPRESARIAL","México"
"TX_000121","EMP_0021","Importadora","2026-12-02 02:11:59.437","15093.38","SPEI_RECIBIDO","México"
"TX_000122","EMP_0002","Papelería","2026-12-02 02:25:45.393","14925.10","TARJETA_EMPRESARIAL","México"
"TX_000123","EMP_0074","Automotriz","2026-12-02 02:43:34.785","25452.98","SPEI_RECIBIDO","México"
"TX_000124","EMP_0042","Turismo","2026-12-02 02:43:44.706","7219.41","SPEI_ENVIADO","México"
"TX_000125","EMP_0062","Farmacia","2026-12-02 02:45:36.368","27352.80","SPEI_ENVIADO","México"
"TX_000126","EMP_0034","Restaurante","2026-12-02 03:01:06.087","8264.59","TARJETA_EMPRESARIAL","México"
"TX_000127","EMP_0073","Farmacia","2026-12-02 03:07:14.307","18430.05","SPEI_ENVIADO","México"
"TX_000128","EMP_0088","Abarrotes","2026-12-02 03:16:47.680","30876.12","SPEI_ENVIADO","México"
"TX_000129","EMP_0058","Consultoría TI","2026-12-02 03:18:04.538","7148.26","SPEI_ENVIADO","México"
"TX_000130","EMP_0006","Constructora","2026-12-02 03:35:29.977","7553.08","SPEI_ENVIADO","México"
"TX_000131","EMP_0035","Papelería","2026-12-02 03:48:07.876","28911.97","TARJETA_EMPRESARIAL","México"
"TX_000132","EMP_0057","Papelería","2026-12-02 03:52:53.005","16701.07","TARJETA_EMPRESARIAL","México"
"TX_000133","EMP_0054","Importadora","2026-12-02 04:14:00.898","5298.62","TARJETA_EMPRESARIAL","México"
"TX_000134","EMP_0051","Farmacia","2026-12-02 04:21:57.867","4500.48","TARJETA_EMPRESARIAL","México"
"TX_000135","EMP_0062","Farmacia","2026-12-02 04:36:29.082","31131.94","TARJETA_EMPRESARIAL","México"
"TX_000136","EMP_0030","Automotriz","2026-12-02 04:38:53.929","19121.43","SPEI_RECIBIDO","México"
"TX_000137","EMP_0051","Farmacia","2026-12-02 04:46:19.544","27436.92","SPEI_RECIBIDO","México"
"TX_000138","EMP_0086","Turismo","2026-12-02 04:50:57.930","16086.08","SPEI_ENVIADO","México"
"TX_000139","EMP_0050","Constructora","2026-12-02 05:01:04.605","29580.09","SPEI_ENVIADO","México"
"TX_000140","EMP_0082","Ferretería","2026-12-02 05:13:27.843","8031.86","TARJETA_EMPRESARIAL","México"
"TX_000141","EMP_0076","Importadora","2026-12-02 05:21:17.036","29187.74","SPEI_RECIBIDO","México"
"TX_000142","EMP_0002","Papelería","2026-12-02 05:39:40.744","3769.89","SPEI_RECIBIDO","México"
"TX_000143","EMP_0032","Importadora","2026-12-02 05:39:41.123","23844.00","SPEI_RECIBIDO","México"
"TX_000144","EMP_0036","Consultoría TI","2026-12-02 05:43:37.998","4828.60","SPEI_ENVIADO","México"
"TX_000145","EMP_0003","Consultoría TI","2026-12-02 06:18:51.541","26701.77","TARJETA_EMPRESARIAL","México"
"TX_000146","EMP_0046","Papelería","2026-12-02 06:19:19.467","10038.45","TARJETA_EMPRESARIAL","México"
